ID,teamName,year,avgPPD,oppTO,penalties,TO,wins,roundedTO,roundedPPD,roundedOppTO,roundedPenalties,playoffs
160,sfo,2015,1.28,12,113,17,5,15,1.5,10,120,NO
156,tam,2015,1.85,23,143,28,6,30,2,25,150,NO
187,atl,2014,2.06,28,97,23,6,25,2,30,90,NO
162,buf,2014,1.58,30,124,23,9,25,1.5,30,120,NO
184,chi,2014,1.68,24,113,29,5,30,1.5,25,120,NO
168,cle,2014,1.44,29,116,23,7,25,1.5,30,120,NO
170,htx,2014,1.69,34,94,22,9,20,1.5,35,90,NO
171,jax,2014,1.17,20,73,26,3,25,1,20,75,NO
175,kan,2014,1.93,14,88,17,9,15,2,15,90,NO
163,mia,2014,1.99,25,81,23,8,25,2,25,75,NO
183,min,2014,1.64,19,100,20,7,20,1.5,20,105,NO
186,nor,2014,2.3,17,80,30,7,30,2.5,15,75,NO
179,nyg,2014,1.93,26,101,28,6,30,2,25,105,NO
164,nyj,2014,1.53,13,109,24,4,25,1.5,15,105,NO
172,oti,2014,1.25,16,111,26,2,25,1,15,105,NO
178,phi,2014,1.96,28,115,36,10,35,2,30,120,NO
176,rai,2014,1.21,14,116,29,3,30,1,15,120,NO
192,ram,2014,1.55,25,123,27,6,25,1.5,25,120,NO
174,sdg,2014,1.87,18,111,23,9,25,2,20,105,NO
191,sfo,2014,1.6,29,116,22,8,20,1.5,30,120,NO
188,tam,2014,1.42,25,118,33,2,35,1.5,25,120,NO
180,was,2014,1.58,19,120,31,4,30,1.5,20,120,NO
219,atl,2013,1.85,21,91,28,4,30,2,20,90,NO
196,buf,2013,1.48,30,110,27,6,25,1.5,30,105,NO
214,chi,2013,2.16,28,85,23,8,25,2,30,90,NO
200,cle,2013,1.4,21,104,29,4,30,1.5,20,105,NO
223,crd,2013,1.71,30,96,31,10,30,1.5,30,90,NO
210,dal,2013,2.18,28,102,20,8,20,2,30,105,NO
215,det,2013,1.86,22,110,34,7,35,2,20,105,NO
204,htx,2013,1.29,11,112,31,2,30,1.5,10,105,NO
203,jax,2013,1.18,21,96,27,4,25,1,20,90,NO
195,mia,2013,1.56,24,70,26,8,25,1.5,25,75,NO
216,min,2013,1.87,20,70,32,5,30,2,20,75,NO
211,nyg,2013,1.33,29,91,44,7,45,1.5,30,90,NO
194,nyj,2013,1.4,15,108,29,8,30,1.5,15,105,NO
202,oti,2013,1.85,25,101,25,7,25,2,25,105,NO
198,pit,2013,1.85,20,80,24,8,25,2,20,75,NO
208,rai,2013,1.52,22,116,31,4,30,1.5,20,120,NO
224,ram,2013,1.64,29,123,21,7,20,1.5,30,120,NO
199,rav,2013,1.43,24,112,29,8,30,1.5,25,105,NO
220,tam,2013,1.41,31,121,21,4,20,1.5,30,120,NO
212,was,2013,1.51,26,99,34,3,35,1.5,25,105,NO
228,buf,2012,1.66,21,104,34,6,35,1.5,20,105,NO
250,car,2012,1.91,23,98,22,7,20,2,25,105,NO
247,chi,2012,1.56,44,102,24,10,25,1.5,45,105,NO
232,cle,2012,1.48,29,113,26,5,25,1.5,30,120,NO
256,crd,2012,1.06,33,102,34,5,35,1,35,105,NO
